Searchable,,Searchable,Searchable,Searchable,,,,
String,Float,String,,String,Float,String,float,String
name,number,department,LevelLong,PrimaryDept,level,Type,rating,philosophyDept
Study of African Amer Cultural Practices,21212,AAS ,201,AAS,2,Lecture,1,PhilosophyCore
Public Policy in the Racial State,21228,AAS AMS ,380 382 ,AAS,3,Seminar,0,Other
Harlem Ren & Black Arts Movements,21218,AAS ART ,245 245 ,AAS,2,Class,3,PhilosophyCore
African American Humor,21226,AAS ENG ,212 212 ,AAS,2,Lecture,2,Other
African American Lit: Origins to 1910,21222,AAS ENG ,353 352 ,AAS,3,Seminar,3,PhilosophyCore
African American History Since Emancipat,21227,AAS HIS ,367 387 ,AAS,3,Class,2,Other
Black to the Future,21221,AAS SOC ,301 367 ,AAS,3,Lecture,0,PhilosophyCore
Housing in the Metropolitan US,21220,AAS SOC ,350 362 ,AAS,3,Seminar,2,Other
Critical African Studies,22993,AFS ,450,AFS,4,Class,1,PhilosophyCore
American Noir: Crime Fiction and Film,20633,AMS ,367,AMS,3,Lecture,1,Other
Environmental and Social Crisis,21039,AMS ENV ,364 365 ,AMS,3,Seminar,3,PhilosophyCore
Issues in American Public Health,22067,AMS GHP ,306 411 ,AMS,3,Class,1,Other
Sugar: A Commodity History of the United,22221,AMS HIS ,353 445 ,AMS,3,Lecture,1,PhilosophyCore
American Legal Thought,21041,AMS HIS ,390 382 ,AMS,3,Seminar,3,Other
In the Groove:Technology and Music,20628,AMS HIS ,399 399 ,AMS,3,Class,2,PhilosophyCore
Introduction to Anthropology,22127,ANT ,201,ANT,2,Lecture,4,Other
Debt,22679,ANT ,225,ANT,2,Seminar,2,PhilosophyCore
"Social Lives, Social Forces",22104,ANT ,232,ANT,2,Class,0,Other
"Ethnography, Evidence and Experience",22262,ANT ,300A ,ANT,3,Lecture,1,PhilosophyCore
"Ethnography, Evidence and Experience",22263,ANT ,300B ,ANT,3,Seminar,4,Other
History of Anthropological Theory,21982,ANT ,390A ,ANT,3,Class,2,PhilosophyCore
History of Anthropological Theory,21978,ANT ,390B ,ANT,3,Lecture,0,Other
"Memory, Trauma, Accountability",21976,ANT ,432,ANT,4,Seminar,1,PhilosophyCore
The Anthropology of Ruins,22228,ANT ,445,ANT,4,Class,4,Other
Proseminar in Anthropology,21977,ANT ,501,ANT,5,Lecture,3,PhilosophyCore
Topics in Social Anthropology: Temporality and Ethnography,21354,ANT ,541,ANT,5,Seminar,4,Other
"Language, Identity, Power",22229,ANT COM ,326 319 ,ANT,3,Class,0,PhilosophyCore
"Religion, Ideology, and Media",21975,ANT REL ,208 208 ,ANT,2,Lecture,0,Other
Forensic Anthropology and Epigenetics,22222,ANT STC ,309A 310A ,ANT,3,Seminar,1,PhilosophyCore
Forensic Anthropology and Epigenetics,22227,ANT STC ,309B 310B ,ANT,3,Class,4,Other
Ethnography of Schools and Schooling,21971,ANT TPP ,368 368 ,ANT,3,Lecture,3,PhilosophyCore
Intro to Geophysical Fluid Dynamics,20829,AOS ,571,AOS,5,Seminar,0,Other
Current Topics in Dynamic Meteorology: Large-Scale Structure /Atmosphere,20830,AOS APC ,576 576 ,AOS,5,Class,1,PhilosophyCore
Atmospheric Radiactive Transfer,20828,AOS GEO ,527 527 ,AOS,5,Lecture,1,Other
Analytical Techniques/Differ'l Equations,21848,APC AST ,503 557 ,APC,5,Seminar,0,PhilosophyCore
Software Engineering for Scientific Comp,21688,APC MAE AST ,524 506 506 ,APC,5,Class,0,Other
Elementary Arabic I,20269,ARA ,101,ARA,1,Lecture,2,PhilosophyCore
Elementary Arabic I,20274,ARA ,101,ARA,1,Seminar,4,Other
Elementary Arabic I,20270,ARA ,101,ARA,1,Class,2,PhilosophyCore
Elementary Arabic I,20275,ARA ,101,ARA,1,Lecture,0,Other
Intermediate Arabic I,20277,ARA ,105,ARA,1,Seminar,2,PhilosophyCore
Intermediate Arabic I,20278,ARA ,105,ARA,1,Class,0,Other
Advanced Arabic I,20283,ARA ,301,ARA,3,Lecture,2,PhilosophyCore
Advanced Arabic I,20284,ARA ,301,ARA,3,Seminar,0,Other
Media Arabic I,20285,ARA ,303,ARA,3,Class,1,PhilosophyCore
Egyptian Colloquial Arabic,20268,ARA ,307,ARA,3,Lecture,4,Other
Topics in Arabic Language and Culture: Reading Arab Authors from the Age of the Arab Renaissance,20286,ARA ,403,ARA,4,Seminar,1,PhilosophyCore
Introduction to Architectural Thinking,22420,ARC ,203,ARC,2,Class,4,Other
Building Science & Tech:Building Systems,22430,ARC ,311,ARC,3,Lecture,1,PhilosophyCore
Computational Design,22418,ARC ,374,ARC,3,Seminar,4,Other
Theories of Housing & Urbanism,22428,ARC ,401,ARC,4,Class,2,PhilosophyCore
Topics: History & Theory of Architecture,22429,ARC ,403,ARC,4,Lecture,0,Other
Advanced Design Studio,22415,ARC ,404,ARC,4,Seminar,0,PhilosophyCore
Architecture Design Studio,22432,ARC ,501,ARC,5,Class,1,Other
Integrated Building Studios,22433,ARC ,503,ARC,5,Lecture,3,PhilosophyCore
Architecture Design Studio,22434,ARC ,505A ,ARC,5,Seminar,4,Other
Architecture Design Studio,22435,ARC ,505B ,ARC,5,Class,3,PhilosophyCore
Architecture Design Studio,22436,ARC ,505C ,ARC,5,Lecture,4,Other
Thesis Studio,22437,ARC ,507,ARC,5,Seminar,4,PhilosophyCore
Structural Analysis for Architecture,22450,ARC ,510,ARC,5,Class,3,Other
Environmental Engineering of Buildings,22448,ARC ,514,ARC,5,Lecture,2,PhilosophyCore
"Climate Change, Adaptation and Urban Des",23123,ARC ,519,ARC,5,Seminar,4,Other
Elemental Building Function,22451,ARC ,521,ARC,5,Class,1,PhilosophyCore
M.Arch. Thesis Seminar,22438,ARC ,530,ARC,5,Lecture,2,Other
Proseminar for Post-Professional M.Arch.,22439,ARC ,531,ARC,5,Seminar,0,PhilosophyCore
The Philosophy of Urban History,22443,ARC ,545,ARC,5,Class,4,Other
Introduction to Formal Analysis,22440,ARC ,547,ARC,5,Lecture,3,PhilosophyCore
"Aesthetics, Tectonics, and Materiality",23155,ARC ,558,ARC,5,Seminar,0,Other
Intro to the Architecture Profession,22447,ARC ,562,ARC,5,Class,3,PhilosophyCore
"Pro Seminar: Computation, Energy, Techno",22441,ARC ,573,ARC,5,Lecture,1,Other
Computing and Imaging in Architecture,22442,ARC ,574,ARC,5,Seminar,4,PhilosophyCore
"Utopics: Utopias, Dystopias, Technotopia",22446,ARC ,578,ARC,5,Class,1,Other
Junior Studio,22416,ARC ARC ,350 350 ,ARC,3,Lecture,4,PhilosophyCore
Junior Studio,22417,ARC ARC ,350 350 ,ARC,3,Seminar,0,Other
History of Architectural Theory,22425,ARC ART ,308 328 ,ARC,3,Class,4,PhilosophyCore
Research in Architecture: The Supernormal and the Transgressive,22444,ARC ART MOD ,571 581 573 ,ARC,5,Lecture,3,Other
Topics in Contemp Architectural Theory: Postmodern Procedures,22445,ARC MOD ARC MOD ,577 577 577 577 ,ARC,5,Seminar,1,PhilosophyCore
Interdisciplinary Design Studio,22682,ARC URB LAS ENV ,205 205 225 205 ,ARC,2,Class,3,Other
Intro to History of Art: Visual Arts,22475,ART ,100,ART,1,Lecture,4,PhilosophyCore
Italian Renaissance Painting & Sculpture,23032,ART ,210,ART,2,Seminar,2,Other
Modernist Art: 1900 to 1950,21312,ART ,213,ART,2,Class,0,PhilosophyCore
Art and Politics in America,21868,ART ,272,ART,2,Lecture,3,Other
20th-Century Photography,21365,ART ,348,ART,3,Seminar,4,PhilosophyCore
Junior Seminar,21319,ART ,400,ART,4,Class,1,Other
Junior Seminar,22985,ART ,400,ART,4,Lecture,4,PhilosophyCore
Seminar. Renaissance Art,21321,ART ,440,ART,4,Seminar,2,Other
Proseminar in the History of Art,20149,ART ,500,ART,5,Class,3,PhilosophyCore
The Graduate Seminar,22241,ART ,502C ,ART,5,Lecture,0,Other
Seminar in Japanese Art and Archaeology: Japanese Tea and the Visual Arts,20185,ART ,574,ART,5,Seminar,4,PhilosophyCore
Greek Archaeology: The Classical Period,21322,ART CLA HLS ,204 204 204 ,ART,2,Class,2,Other
The Orientalizing Phenomenon in Greek Ar,20775,ART CLA HLS ,519 523 519 ,ART,5,Lecture,2,PhilosophyCore
The Arts of Japan,21325,ART EAS ,217 217 ,ART,2,Seminar,1,Other
Landscape and the Visual Arts in China,22230,ART EAS ,356 367 ,ART,3,Class,2,PhilosophyCore
Song Dynasty Painting,21871,ART EAS ,428 428 ,ART,4,Lecture,1,Other
"Medieval Art: Emperors, Angels, and Martyrs: Bodies in Byzantium",21320,ART HLS MED ,430 430 430 ,ART,4,Seminar,0,PhilosophyCore
Art and Power in the Middle Ages,21317,ART HLS MED HUM ,228 228 228 228 ,ART,2,Class,3,Other
"Theory, History, and Practice of Textile",22684,ART LAS ,419 399 ,ART,4,Lecture,4,PhilosophyCore
Seminar in Modernist Art and Theory: Brutal Aesthetics,23130,ART MOD ,565 565 ,ART,5,Seminar,1,Other
Seminar in History of Photography: Alfred Stieglitz & American Photography,20783,ART MOD ,567 567 ,ART,5,Class,0,PhilosophyCore
Planets in the Universe,20105,AST ,205,AST,2,Lecture,4,Other
Extragalactic Astronomy,20101,AST ,522,AST,5,Seminar,0,PhilosophyCore
Seminar in Theoretical Astrophysics,20106,AST ,541,AST,5,Class,1,Other
Plasma Waves and Instabilities,23028,AST ,553,AST,5,Lecture,2,PhilosophyCore
Fusion Plasmas & Plasma Diagnostics,23029,AST ,555,AST,5,Seminar,4,Other
Seminar in Plasma Physics,23030,AST ,558,AST,5,Class,4,PhilosophyCore
General Plasma Physics I,23027,AST MAE AST MAE ,551 525 551 525 ,AST,5,Lecture,2,Other
General Relativity,20102,AST PHY ,301 321 ,AST,3,Seminar,0,PhilosophyCore
Princeton Atelier: Who Owns A Song?: A Theatrical Investigation of Princeton and Slavery,22842,ATL AMS THR ,499 499 499 ,ATL,4,Class,3,Other
Princeton Atelier: Reimagining a Masterpiece: Mozart's Symphony #40,21687,ATL MTD THR ,498 498 498 ,ATL,4,Lecture,1,PhilosophyCore
Introduction to Chemical and Biochemical,20175,CBE ,245,CBE,2,Seminar,3,Other
Separations in Chemical Engineering,20178,CBE ,250,CBE,2,Class,2,PhilosophyCore
"Mass, Momentum, and Energy Transport",20179,CBE ,341,CBE,3,Lecture,1,Other
Junior Independent Work,20177,CBE ,351,CBE,3,Seminar,4,PhilosophyCore
"Design, Synthesis, and Optimization",20183,CBE ,442,CBE,4,Class,0,Other
Senior Independent Work,20184,CBE ,451,CBE,4,Lecture,0,PhilosophyCore
Chemical Reactor Engineering,21628,CBE ,504,CBE,5,Seminar,3,Other
Research Topics in Chemical & Biological,22913,CBE ,507,CBE,5,Class,0,PhilosophyCore
Numerical Methods for Engineers,21635,CBE ,508,CBE,5,Lecture,2,Other
Math Methods of Engineering Analysis II,21625,CBE APC ,502 502 ,CBE,5,Seminar,2,PhilosophyCore
Surface Science: Processes and Probes,21629,CBE CHM MSE ,526 527 526 ,CBE,5,Class,2,Other
Ethics & Technology Engineering,20955,CBE EGR ,260 260 ,CBE,2,Lecture,4,PhilosophyCore
Fundamentals of Bioengineering,20959,CBE EGR ,262 263 ,CBE,2,Seminar,1,Other
Mechanics/Dynamics of Soft Living Matter,20962,CBE MSE ,433 424 ,CBE,4,Class,1,PhilosophyCore
Advanced Thermodynamics,21627,CBE MSE ,503 521 ,CBE,5,Lecture,2,Other
Design of Reinforced Concrete Structures,21091,CEE ,366,CEE,3,Seminar,4,PhilosophyCore
Independent Study,21095,CEE ,375,CEE,3,Class,2,Other
Structural Health Monitoring,21115,CEE ,439,CEE,4,Lecture,0,PhilosophyCore
Independent Study I,21607,CEE ,507,CEE,5,Seminar,3,Other
Independent Study II,21608,CEE ,508,CEE,5,Class,2,PhilosophyCore
Directed Research,21096,CEE ,509,CEE,5,Lecture,3,Other
Research Seminar,21097,CEE ,510,CEE,5,Seminar,0,PhilosophyCore
Introduction to Finite Element Methods,21092,CEE ,513,CEE,5,Class,4,Other
Holistic Analysis of Heritage Structures,23002,CEE ,538,CEE,5,Lecture,4,PhilosophyCore
Special Topics in MMS: Structural Health Monitoring,21094,CEE ,539,CEE,5,Seminar,4,Other
Environmental Chemistry,21114,CEE ,571,CEE,5,Class,1,PhilosophyCore
Theory of Groundwater Flow,21131,CEE ,581,CEE,5,Lecture,0,Other
Special Topics in Environmental Engineer: Advanced Hydrological Modeling and Terrestrial Remote Sensing,22591,CEE ,599,CEE,5,Seminar,3,PhilosophyCore
Engineering in the Modern World,21073,CEE EGR MAE ,102A 102A 102A ,CEE,1,Class,4,Other
Engineering in the Modern World,21081,CEE EGR MAE ,102B 102B 102B ,CEE,1,Lecture,0,PhilosophyCore
Engineering Design for Sustainable Devel,21072,CEE ENE ,477 477 ,CEE,4,Seminar,3,Other
Intro to Environmental Engineering,21069,CEE ENV ,207 207 ,CEE,2,Class,0,PhilosophyCore
Environmental Fluid Mechanics,21070,CEE GEO ENE ,305 375 305 ,CEE,3,Lecture,2,Other
Matrix Structural Analysis and Introduct,21089,CEE MAE MSE ,361 325 331 ,CEE,3,Seminar,0,PhilosophyCore
Global Environmental Issues,21071,CEE WWS ENV ENE ,334 452 334 334 ,CEE,3,Class,3,Other
Philosophy & Science of Consciousness,22232,CGS PHI ,310 328 ,CGS,3,Lecture,2,PhilosophyCore
Elementary Chinese I,22522,CHI ,101,CHI,1,Seminar,1,Other
Elementary Chinese I,22523,CHI ,101,CHI,1,Class,4,PhilosophyCore
Elementary Chinese I,22529,CHI ,101,CHI,1,Lecture,4,Other
Elementary Chinese I,22527,CHI ,101,CHI,1,Seminar,0,PhilosophyCore
Elementary Chinese I,22524,CHI ,101,CHI,1,Class,4,Other
Elementary Chinese I,22530,CHI ,101,CHI,1,Lecture,3,PhilosophyCore
Intensive Elementary Chinese,22533,CHI ,103,CHI,1,Seminar,4,Other
Intensive Elementary Chinese,22534,CHI ,103,CHI,1,Class,1,PhilosophyCore
Intensive Elementary Chinese,22539,CHI ,103,CHI,1,Lecture,0,Other
Intensive Elementary Chinese,22535,CHI ,103,CHI,1,Seminar,1,PhilosophyCore
Intermediate Chinese I,22540,CHI ,105,CHI,1,Class,3,Other
Intermediate Chinese I,22541,CHI ,105,CHI,1,Lecture,1,PhilosophyCore
Intermediate Chinese I,22542,CHI ,105,CHI,1,Seminar,4,Other
Intermediate Chinese I,22543,CHI ,105,CHI,1,Class,4,PhilosophyCore
Introduction to Classical Chinese I,22547,CHI ,301,CHI,3,Lecture,4,Other
Introduction to Classical Chinese I,22779,CHI ,301,CHI,3,Seminar,1,PhilosophyCore
Introduction to Classical Chinese I,22780,CHI ,301,CHI,3,Class,1,Other
Third-Year Modern Chinese I,22556,CHI ,303,CHI,3,Lecture,3,PhilosophyCore
Third-Year Modern Chinese I,22557,CHI ,303,CHI,3,Seminar,4,Other
Third-Year Modern Chinese I,22559,CHI ,303,CHI,3,Class,3,PhilosophyCore
Third-Year Modern Chinese I,22558,CHI ,303,CHI,3,Lecture,2,Other
Third-Year Modern Chinese I,22560,CHI ,303,CHI,3,Seminar,0,PhilosophyCore
Intensive Third-Year Modern Chinese I,22594,CHI ,305,CHI,3,Class,2,Other
Intensive Third-Year Modern Chinese I,22595,CHI ,305,CHI,3,Lecture,0,PhilosophyCore
Intensive Third-Year Modern Chinese I,22596,CHI ,305,CHI,3,Seminar,3,Other
Fourth-Year Modern Chinese I,22571,CHI ,403,CHI,4,Class,1,PhilosophyCore
Fourth-Year Modern Chinese I,22572,CHI ,403,CHI,4,Lecture,3,Other
Fourth-Year Modern Chinese I,22573,CHI ,403,CHI,4,Seminar,3,PhilosophyCore
Intensive Fourth-Year Modern Chinese I,22600,CHI ,405,CHI,4,Class,4,Other
Intensive Fourth-Year Modern Chinese I,22601,CHI ,405,CHI,4,Lecture,4,PhilosophyCore
Rdgs in Mod Chinese Intellectual Hist,22781,CHI EAS ,411 411 ,CHI,4,Seminar,0,Other
Rdgs in Mod Chinese Intellectual Hist,22782,CHI EAS ,411 411 ,CHI,4,Class,3,PhilosophyCore
Rdgs in Mod Chinese Intellectual Hist,22783,CHI EAS ,411 411 ,CHI,4,Lecture,0,Other
General Chemistry I,20024,CHM ,201,CHM,2,Seminar,4,PhilosophyCore
Advanced General Chem: Materials Chem,20045,CHM ,207,CHM,2,Class,1,Other
Organic Chemistry I: Biological Emphasis,20060,CHM ,303,CHM,3,Lecture,1,PhilosophyCore
The Quantum World,20071,CHM ,305,CHM,3,Seminar,4,Other
Experimental Chemistry,20075,CHM ,371,CHM,3,Class,4,PhilosophyCore
Advanced Organic Chemistry,20076,CHM ,403,CHM,4,Lecture,2,Other
Inorganic Chemistry: Structure & Bonding,20079,CHM ,407,CHM,4,Seminar,4,PhilosophyCore
Responsible Conduct Research Chemistry,20087,CHM ,500A ,CHM,5,Class,3,Other
Responsible Conduct Research Chemistry,20088,CHM ,500B ,CHM,5,Lecture,0,PhilosophyCore
Responsible Conduct Research Chemistry,20089,CHM ,500C ,CHM,5,Seminar,0,Other
Basic Principles of Quantum Mechanics,20090,CHM ,501,CHM,5,Class,2,PhilosophyCore
Biophysical Chemistry I,20091,CHM ,515,CHM,5,Lecture,4,Other
Topics in Inorganic Chemistry: Solid State Chemistry,20099,CHM ,529,CHM,5,Seminar,3,PhilosophyCore
Synthetic Organic Chemistry,20093,CHM ,530,CHM,5,Class,1,Other
Mechanistic & Physical Organic Chemistry,20098,CHM ,532,CHM,5,Lecture,2,PhilosophyCore
Topics in Biological Chemistry: Chemical Tools to Study Biological Systems,20095,CHM ,538,CHM,5,Seminar,2,Other
Intro to Chemical Instrumentation,20094,CHM ,539,CHM,5,Class,1,PhilosophyCore
Introduction to Statistical Mechanics,20100,CHM CBE MSE ,503 524 514 ,CHM,5,Lecture,0,Other
Drug Discovery in the Genomics Era,20082,CHM GHP ,440 440 ,CHM,4,Seminar,1,PhilosophyCore
Advanced Inorganic Chemistry,20092,CHM MSE ,522 592 ,CHM,5,Class,1,Other
Crime and Punishment: Ethics of Reading,22755,CHV COM ENG CHV COM ENG ,577 577 535 577 577 535 ,CHV,5,Lecture,2,PhilosophyCore
Practical Ethics,21384,CHV PHI ,310 385 ,CHV,3,Seminar,2,Other
Junior Seminar: Introduction to Classics,21526,CLA ,340,CLA,3,Class,3,PhilosophyCore
Survey of Selected Latin Literature: Roman Literary History,21695,CLA ,503,CLA,5,Lecture,0,Other
Greek Politics in Practice and Theory,21471,CLA CHV POL HLS ,244 244 337 243 ,CLA,2,Seminar,1,PhilosophyCore
The Roman Empire 31 BC to AD 337,21464,CLA HIS ,219 219 ,CLA,2,Class,3,Other
Greek Tragedy: The Oresteia and Tragic Criticism,21697,CLA HLS ,506 506 ,CLA,5,Lecture,2,PhilosophyCore
Problems in Greek and Roman Philosophy: Philo of Alexandria,21752,CLA HLS ,526 527 ,CLA,5,Seminar,1,Other
Problems in Ancient History: Scenes of Subjection,21972,CLA HLS PAW ART ,548 548 548 532 ,CLA,5,Class,0,PhilosophyCore
Classical Mythology,21453,CLA HUM GSS HLS ,212 212 212 212 ,CLA,2,Lecture,2,Other
Problems in Ancient History: Transformations of Culture in Late Antiquity,21852,CLA PAW HLS HIS ,547 503 547 557 ,CLA,5,Seminar,2,PhilosophyCore
Beginner's Greek: Greek Grammar,21527,CLG ,101,CLG,1,Class,1,Other
Socrates,21529,CLG ,105,CLG,1,Lecture,1,PhilosophyCore
Tragic Drama: Euripides' Helen,21747,CLG ,213,CLG,2,Seminar,1,Other
Homer and the Epic Tradition,21553,CLG ,307,CLG,3,Class,0,PhilosophyCore
Passion,22155,COM ,203,COM,2,Lecture,2,Other
Reading and Writing Food,22234,COM ,211,COM,2,Seminar,2,PhilosophyCore
Junior Seminar: Intro to Comp Literature,21753,COM ,300,COM,3,Class,0,Other
Comparative Literature Graduate Pedagogy,20861,COM ,500,COM,5,Lecture,4,PhilosophyCore
Introduction to Comparative Literature,20778,COM ,521,COM,5,Seminar,1,Other
Topics in Critical Theory: Comparative Literature Writing and Dissertation Colloquium,20781,COM ,536,COM,5,Class,0,PhilosophyCore
Stolen Years: Youth under the Nazis,21808,COM CHV GER ECS ,362 362 364 362 ,COM,3,Lecture,2,Other
Urban Horror Cinema: Asian Cities Crisis,22233,COM EAS ARC ,208 209 210 ,COM,2,Seminar,1,PhilosophyCore
What is Vernacular Filmmaking?,22784,COM ECS HUM ,341 341 341 ,COM,3,Class,4,Other
Topics in Comparative Literature: On Collecting: Anatomy of an Obsession,22849,COM HUM ECS ART ,370 371 377 361 ,COM,3,Lecture,3,PhilosophyCore
Classical Roots of Western Literature,21331,COM HUM HLS ,205 205 203 ,COM,2,Seminar,3,Other
Introduction to Jewish Cultures,21648,COM JDS ,202 203 ,COM,2,Class,2,PhilosophyCore
Contemporary Latin America in Literature,21760,COM LAS ,353 352 ,COM,3,Lecture,3,Other
The Literature of Medieval Europe,20779,COM MED ,310 308 ,COM,3,Seminar,2,PhilosophyCore
Tpcs in Medieval Literature: Medieval Personhood,20780,COM MED ,543 543 ,COM,5,Class,3,Other
Politics and Society in the Arabic Novel,21650,COM NES ,380 380 ,COM,3,Lecture,1,PhilosophyCore
Quixotic Desires,21032,COM SPA ,360 364 ,COM,3,Seminar,1,Other
Great Books from Little Languages,21356,COM TRA ENG ,351 351 361 ,COM,3,Class,4,PhilosophyCore
Introduction to Programming Systems,20496,COS ,217,COS,2,Lecture,4,Other
Algorithms and Data Structures,20503,COS ,226,COS,2,Seminar,2,PhilosophyCore
Operating Systems,20510,COS ,318,COS,3,Class,4,Other
Introduction to Machine Learning,22909,COS ,324,COS,3,Lecture,4,PhilosophyCore
Functional Programming,20518,COS ,326,COS,3,Seminar,0,Other
Advanced Programming Techniques,20549,COS ,333,COS,3,Class,1,PhilosophyCore
Reasoning about Computation,20512,COS ,340,COS,3,Lecture,4,Other
Junior Independent Work,20522,COS ,397,COS,3,Seminar,3,PhilosophyCore
Distributed Systems,20532,COS ,418,COS,4,Class,4,Other
Computer Vision,20535,COS ,429,COS,4,Lecture,2,PhilosophyCore
Computational Geometry,22615,COS ,451,COS,4,Seminar,2,Other
Special Topics in Computer Science: Complex Networks - Analysis and Applications,20555,COS ,496,COS,4,Class,2,PhilosophyCore
Senior Independent Work,20540,COS ,497,COS,4,Lecture,3,Other
Advanced Algorithm Design,20889,COS ,521,COS,5,Seminar,3,PhilosophyCore
Advanced Cryptography,23001,COS ,533,COS,5,Class,0,Other
Advanced Computer Networks,20892,COS ,561,COS,5,Lecture,0,PhilosophyCore
Extramural Research Internship,20891,COS ,590,COS,5,Seminar,3,Other
Computers in Our World,20484,COS EGR ,109 109 ,COS,1,Class,4,PhilosophyCore
Computer Science: An Interdisciplinary A,20489,COS EGR ,126 126 ,COS,1,Lecture,4,Other
Information Security,20536,COS ELE ,432 432 ,COS,4,Seminar,2,PhilosophyCore
Human-Computer Interface Technology,20550,COS ELE ,436 469 ,COS,4,Class,0,Other
Automated Reasoning about Software,20887,COS ELE ,516 516 ,COS,5,Lecture,4,PhilosophyCore
Theory of Computation,20537,COS MAT ,487 407 ,COS,4,Seminar,3,Other
Intro. to Genomics and Computation,20890,COS MOL QCB ,551 551 551 ,COS,5,Class,0,PhilosophyCore
Scholarly Approaches to Teaching,22231,CTL ,501,CTL,5,Lecture,4,Other
Creative Writing Poetry,21183,CWR ,201,CWR,2,Seminar,0,PhilosophyCore
Creative Writing Poetry,21181,CWR ,201,CWR,2,Class,4,Other
Creative Writing Poetry,21182,CWR ,201,CWR,2,Lecture,1,PhilosophyCore
Creative Writing Poetry,21184,CWR ,201,CWR,2,Seminar,2,Other
Creative Writing Poetry,21185,CWR ,201,CWR,2,Class,0,PhilosophyCore
Creative Writing Poetry,21186,CWR ,201,CWR,2,Lecture,1,Other
Creative Writing Poetry,21187,CWR ,201,CWR,2,Seminar,0,PhilosophyCore
Creative Writing Poetry,21188,CWR ,201,CWR,2,Class,1,Other
Creative Writing (Fiction),21189,CWR ,203,CWR,2,Lecture,1,PhilosophyCore
Creative Writing (Fiction),21190,CWR ,203,CWR,2,Seminar,3,Other
Creative Writing (Fiction),21191,CWR ,203,CWR,2,Class,4,PhilosophyCore
Creative Writing (Fiction),21192,CWR ,203,CWR,2,Lecture,1,Other
Creative Writing (Fiction),21193,CWR ,203,CWR,2,Seminar,3,PhilosophyCore
Creative Writing (Fiction),21194,CWR ,203,CWR,2,Class,0,Other
Creative Writing (Fiction),21195,CWR ,203,CWR,2,Lecture,4,PhilosophyCore
Creative Writing (Fiction),21196,CWR ,203,CWR,2,Seminar,3,Other
Creative Writing (Fiction),21197,CWR ,203,CWR,2,Class,3,PhilosophyCore
Advanced Creative Writing (Poetry),21211,CWR ,301,CWR,3,Lecture,1,Other
Advanced Creative Writing (Poetry),21210,CWR ,301,CWR,3,Seminar,0,PhilosophyCore
Advanced Creative Writing (Fiction),21200,CWR ,303,CWR,3,Class,4,Other
Advanced Creative Writing (Fiction),21201,CWR ,303,CWR,3,Lecture,0,PhilosophyCore
Special Topics in Creative Writing: Writing Autobiography,21219,CWR ,345,CWR,3,Seminar,2,Other
Translation Workshop:To and From Italian,22686,CWR ITA ,307 301 ,CWR,3,Class,0,PhilosophyCore
Exploding Text: Poetry Performance,22235,CWR THR ,217 217 ,CWR,2,Lecture,2,Other
Intro Screenwriting: Writing Short Film,21205,CWR VIS ,348 348 ,CWR,3,Seminar,2,PhilosophyCore
Advanced Screenwriting,21235,CWR VIS ,405 405 ,CWR,4,Class,0,Other
Intro to Screenwriting: Adaptation,21207,CWR VIS ,448 448 ,CWR,4,Lecture,1,PhilosophyCore
Intermediate Czech I,21352,CZE ,105,CZE,1,Seminar,4,Other
Introduction to Ballet,21280,DAN ,207,DAN,2,Class,3,PhilosophyCore
"Power, Structure, and the Human Body",21305,DAN ,210,DAN,2,Lecture,3,Other
Introduction to Contemporary Dance,21244,DAN ,213,DAN,2,Seminar,4,PhilosophyCore
Uncertainty,22237,DAN ,216,DAN,2,Class,2,Other
Choreography Workshop I,21256,DAN ,319A ,DAN,3,Lecture,3,PhilosophyCore
Dance Performance Workshop: Repertory I,21284,DAN ,319B ,DAN,3,Seminar,4,Other
Choreography Workshop II,21290,DAN ,320A ,DAN,3,Class,0,PhilosophyCore
Dance Performance Workshop: Repertory II,21252,DAN ,320B ,DAN,3,Lecture,4,Other
Choreography Workshop III,21262,DAN ,419A ,DAN,4,Seminar,4,PhilosophyCore
Dance Performance Workshop:Repertory III,21254,DAN ,419B ,DAN,4,Class,2,Other
Choreography Workshop IV,21270,DAN ,420A ,DAN,4,Lecture,0,PhilosophyCore
Dance Performance Workshop: Repertory IV,21287,DAN ,420B ,DAN,4,Seminar,3,Other
Amer. Dance Exper.& Africanist Practices,21242,DAN AAS ,211 211 ,DAN,2,Class,4,PhilosophyCore
Introduction to the Radical Imagination,22239,DAN AAS VIS ,223 223 224 ,DAN,2,Lecture,4,Other
FAT: The F-Word and the Public Body,21246,DAN AMS GSS ,312 398 346 ,DAN,3,Seminar,0,PhilosophyCore
Introduction to Dance Across Cultures,21272,DAN ANT ,215 355 ,DAN,2,Class,1,Other
Introduction to Ballet,21367,DAN DAN ,207 207 ,DAN,2,Lecture,0,PhilosophyCore
Writing and Culture of Premodern Korea,22275,EAS ,216,EAS,2,Seminar,3,Other
Junior Seminar,22281,EAS ,300,EAS,3,Class,1,PhilosophyCore
Japanese Film & Media Studies,22277,EAS ,303,EAS,3,Lecture,1,Other
Contemporary Korean Media Cultures,22278,EAS ,365,EAS,3,Seminar,1,PhilosophyCore
Chinese Intellectual History,21179,EAS ,507,EAS,5,Class,4,Other
Chinese Literature: The Verses of Chu (Chuci),20371,EAS ,531,EAS,5,Lecture,3,PhilosophyCore
